[ERROR][20180214 10:57:45,396][ParserHtml:172] ======title=====SELF格致论道
[ERROR][20180214 10:57:59,521][ParserHtml:182] ======e=====java.lang.NullPointerException
[ERROR][20180214 10:58:14,078][ParserHtml:172] ======title=====SELF格致论道
[ERROR][20180214 10:59:44,687][ParserHtml:178] ====linkSrc======
[ERROR][20180214 11:05:36,687][ParserHtml:172] ======title=====SELF格致论道
[ERROR][20180214 11:06:01,846][ParserHtml:179] ====linkSrc======./201802/t20180202_29783.html
[ERROR][20180214 11:06:10,941][ParserHtml:179] ====linkSrc======./201801/t20180125_29755.html
[ERROR][20180214 11:06:13,606][ParserHtml:179] ====linkSrc======./201801/t20180119_29662.html
[ERROR][20180214 11:06:17,694][ParserHtml:179] ====linkSrc======./201801/t20180110_29437.html
[ERROR][20180214 11:06:17,694][ParserHtml:179] ====linkSrc======./201801/t20180108_29423.html
[ERROR][20180214 11:06:17,694][ParserHtml:179] ====linkSrc======./201801/t20180108_29422.html
[ERROR][20180214 11:06:17,695][ParserHtml:179] ====linkSrc======./201801/t20180108_29421.html
[ERROR][20180214 11:06:17,695][ParserHtml:179] ====linkSrc======./201801/t20180105_29418.html
[ERROR][20180214 11:06:17,695][ParserHtml:179] ====linkSrc======./201801/t20180105_29416.html
[ERROR][20180214 11:06:17,695][ParserHtml:179] ====linkSrc======./201712/t20171207_29122.html
[ERROR][20180214 11:06:17,695][ParserHtml:179] ====linkSrc======./201710/t20171011_28406.html
[ERROR][20180214 11:06:17,695][ParserHtml:179] ====linkSrc======./201710/t20171010_28401.html
[ERROR][20180214 11:06:17,695][ParserHtml:179] ====linkSrc======./201710/t20171010_28398.html
[ERROR][20180214 11:06:17,695][ParserHtml:179] ====linkSrc======./201710/t20171010_28397.html
[ERROR][20180214 11:06:17,697][ParserHtml:179] ====linkSrc======./201710/t20171010_28396.html
[ERROR][20180214 11:06:17,698][ParserHtml:179] ====linkSrc======./201709/t20170918_28276.html
[ERROR][20180214 11:06:17,698][ParserHtml:179] ====linkSrc======./201709/t20170918_28274.html
[ERROR][20180214 11:06:17,698][ParserHtml:179] ====linkSrc======./201710/t20171010_28400.html
[ERROR][20180214 11:06:17,698][ParserHtml:179] ====linkSrc======./201710/t20171010_28399.html
[ERROR][20180214 11:06:17,698][ParserHtml:179] ====linkSrc======./201709/t20170913_28218.html
[ERROR][20180214 11:06:17,698][ParserHtml:179] ====linkSrc======./201709/t20170908_28193.html
[ERROR][20180214 11:06:17,699][ParserHtml:179] ====linkSrc======./201709/t20170905_28166.html
[ERROR][20180214 11:06:17,699][ParserHtml:179] ====linkSrc======./201708/t20170817_27976.html
[ERROR][20180214 11:06:17,699][ParserHtml:179] ====linkSrc======./201708/t20170814_27936.html
[ERROR][20180214 11:06:17,699][ParserHtml:179] ====linkSrc======./201708/t20170810_27909.html
[ERROR][20180214 11:06:17,699][ParserHtml:179] ====linkSrc======./201707/t20170731_27837.html
[ERROR][20180214 11:06:17,699][ParserHtml:179] ====linkSrc======./201707/t20170731_27833.html
[ERROR][20180214 11:06:17,699][ParserHtml:179] ====linkSrc======./201707/t20170718_27708.html
[ERROR][20180214 11:06:17,700][ParserHtml:179] ====linkSrc======./201707/t20170718_27707.html
[ERROR][20180214 11:06:17,700][ParserHtml:179] ====linkSrc======./201707/t20170710_27628.html
[ERROR][20180214 11:06:17,700][ParserHtml:179] ====linkSrc======./201707/t20170710_27619.html
[ERROR][20180214 11:06:17,700][ParserHtml:179] ====linkSrc======./201706/t20170629_27540.html
[ERROR][20180214 11:06:17,700][ParserHtml:179] ====linkSrc======./201706/t20170627_27495.html
[ERROR][20180214 11:06:17,700][ParserHtml:179] ====linkSrc======./201705/t20170526_27201.html
[ERROR][20180214 11:06:17,700][ParserHtml:179] ====linkSrc======./201705/t20170526_27198.html
[ERROR][20180214 11:06:17,701][ParserHtml:179] ====linkSrc======./201705/t20170508_27037.html
[ERROR][20180214 11:06:17,701][ParserHtml:179] ====linkSrc======./201704/t20170427_26972.html
[ERROR][20180214 11:06:17,701][ParserHtml:179] ====linkSrc======./201704/t20170425_26970.html
[ERROR][20180214 11:06:17,701][ParserHtml:179] ====linkSrc======./201704/t20170419_26901.html
[ERROR][20180214 11:06:17,702][ParserHtml:179] ====linkSrc======./201704/t20170420_26903.html
[ERROR][20180214 11:06:17,702][ParserHtml:179] ====linkSrc======./201704/t20170420_26902.html
[ERROR][20180214 11:06:17,702][ParserHtml:179] ====linkSrc======./201704/t20170419_26900.html
[ERROR][20180214 11:06:17,703][ParserHtml:179] ====linkSrc======./201704/t20170417_26879.html
[ERROR][20180214 11:06:17,703][ParserHtml:179] ====linkSrc======./201704/t20170417_26878.html
[ERROR][20180214 11:06:17,703][ParserHtml:179] ====linkSrc======./201704/t20170401_26076.html
[ERROR][20180214 11:06:17,703][ParserHtml:179] ====linkSrc======./201704/t20170401_26075.html
[ERROR][20180214 11:06:17,703][ParserHtml:179] ====linkSrc======./201704/t20170401_26074.html
[ERROR][20180214 11:06:17,703][ParserHtml:179] ====linkSrc======./201703/t20170308_25894.html
[ERROR][20180214 11:06:17,703][ParserHtml:179] ====linkSrc======./201703/t20170307_25876.html
[ERROR][20180214 11:06:17,703][ParserHtml:179] ====linkSrc======./201702/t20170224_25789.html
[ERROR][20180214 11:06:17,704][ParserHtml:179] ====linkSrc======./201702/t20170214_25627.html
[ERROR][20180214 11:06:17,704][ParserHtml:179] ====linkSrc======./201702/t20170210_25567.html
[ERROR][20180214 11:06:17,704][ParserHtml:179] ====linkSrc======./201701/t20170119_25430.html
[ERROR][20180214 11:06:17,704][ParserHtml:179] ====linkSrc======./201701/t20170113_25309.html
[ERROR][20180214 11:06:17,704][ParserHtml:179] ====linkSrc======./201612/t20161230_25132.html
[ERROR][20180214 11:06:17,705][ParserHtml:179] ====linkSrc======./201612/t20161229_25114.html
[ERROR][20180214 11:06:17,705][ParserHtml:179] ====linkSrc======./201612/t20161226_25023.html
[ERROR][20180214 11:06:17,705][ParserHtml:179] ====linkSrc======./201612/t20161220_24863.html
[ERROR][20180214 11:06:17,705][ParserHtml:179] ====linkSrc======./201612/t20161216_24820.html
[ERROR][20180214 11:06:17,705][ParserHtml:179] ====linkSrc======./201612/t20161214_24783.html
[ERROR][20180214 11:06:17,705][ParserHtml:179] ====linkSrc======./201612/t20161212_24709.html
[ERROR][20180214 11:06:17,705][ParserHtml:179] ====linkSrc======./201612/t20161205_24570.html
[ERROR][20180214 11:06:17,705][ParserHtml:179] ====linkSrc======./201612/t20161202_24552.html
[ERROR][20180214 11:06:17,706][ParserHtml:179] ====linkSrc======./201611/t20161130_24419.html
[ERROR][20180214 11:06:17,706][ParserHtml:179] ====linkSrc======./201611/t20161124_24262.html
[ERROR][20180214 11:06:17,706][ParserHtml:179] ====linkSrc======./201611/t20161116_24039.html
[ERROR][20180214 11:06:17,706][ParserHtml:179] ====linkSrc======./201611/t20161114_23975.html
[ERROR][20180214 11:06:17,706][ParserHtml:179] ====linkSrc======./201611/t20161111_23924.html
[ERROR][20180214 11:06:17,706][ParserHtml:179] ====linkSrc======./201610/t20161026_23485.html
[ERROR][20180214 11:06:17,706][ParserHtml:179] ====linkSrc======./201611/t20161109_23874.html
[ERROR][20180214 11:06:17,706][ParserHtml:179] ====linkSrc======./201610/t20161021_23404.html
[ERROR][20180214 11:06:17,706][ParserHtml:179] ====linkSrc======./201610/t20161020_23395.html
[ERROR][20180214 11:06:17,706][ParserHtml:179] ====linkSrc======./201610/t20161019_23362.html
[ERROR][20180214 11:06:17,707][ParserHtml:179] ====linkSrc======./201610/t20161014_23292.html
[ERROR][20180214 11:06:17,707][ParserHtml:179] ====linkSrc======./201610/t20161012_23273.html
[ERROR][20180214 11:06:17,707][ParserHtml:179] ====linkSrc======./201610/t20161009_23212.html
[ERROR][20180214 11:06:17,707][ParserHtml:179] ====linkSrc======./201610/t20161008_23192.html
[ERROR][20180214 11:06:17,707][ParserHtml:179] ====linkSrc======./201609/t20160928_23135.html
[ERROR][20180214 11:06:17,707][ParserHtml:179] ====linkSrc======./201609/t20160926_23090.html
[ERROR][20180214 11:06:17,707][ParserHtml:179] ====linkSrc======./201609/t20160914_22949.html
[ERROR][20180214 11:06:17,707][ParserHtml:179] ====linkSrc======./201609/t20160913_22932.html
[ERROR][20180214 11:06:17,707][ParserHtml:179] ====linkSrc======./201609/t20160905_22665.html
[ERROR][20180214 11:06:17,707][ParserHtml:179] ====linkSrc======./201609/t20160905_22666.html
[ERROR][20180214 11:06:17,708][ParserHtml:179] ====linkSrc======./201608/t20160823_22518.html
[ERROR][20180214 11:06:17,708][ParserHtml:179] ====linkSrc======./201608/t20160819_22424.html
[ERROR][20180214 11:06:17,708][ParserHtml:179] ====linkSrc======./201607/t20160725_22156.html
[ERROR][20180214 11:06:17,708][ParserHtml:179] ====linkSrc======./201607/t20160722_22131.html
[ERROR][20180214 11:06:17,708][ParserHtml:179] ====linkSrc======./201607/t20160719_22103.html
[ERROR][20180214 11:06:17,708][ParserHtml:179] ====linkSrc======./201607/t20160712_22028.html
[ERROR][20180214 11:06:17,708][ParserHtml:179] ====linkSrc======./201607/t20160705_21970.html
[ERROR][20180214 11:06:17,708][ParserHtml:179] ====linkSrc======./201606/t20160629_21888.html
[ERROR][20180214 11:06:17,709][ParserHtml:179] ====linkSrc======./201606/t20160623_21793.html
[ERROR][20180214 11:06:17,709][ParserHtml:179] ====linkSrc======./201606/t20160606_21460.html
[ERROR][20180214 11:06:17,709][ParserHtml:179] ====linkSrc======./201606/t20160601_21388.html
[ERROR][20180214 11:06:17,709][ParserHtml:179] ====linkSrc======./201605/t20160526_21354.html
[ERROR][20180214 11:06:17,709][ParserHtml:179] ====linkSrc======./201605/t20160519_21280.html
[ERROR][20180214 11:06:17,709][ParserHtml:179] ====linkSrc======./201606/t20160614_21502.html
[ERROR][20180214 11:06:17,709][ParserHtml:179] ====linkSrc======./201604/t20160419_20760.html
[ERROR][20180214 11:06:17,709][ParserHtml:179] ====linkSrc======./201605/t20160517_21213.html
[ERROR][20180214 11:06:17,709][ParserHtml:179] ====linkSrc======./201605/t20160510_21085.html
[ERROR][20180214 11:06:17,710][ParserHtml:179] ====linkSrc======./201605/t20160509_21026.html
[ERROR][20180214 11:06:17,710][ParserHtml:179] ====linkSrc======./201605/t20160506_21017.html
[ERROR][20180214 11:06:17,710][ParserHtml:179] ====linkSrc======./201605/t20160505_20999.html
[ERROR][20180214 11:06:17,710][ParserHtml:179] ====linkSrc======./201604/t20160428_20937.html
[ERROR][20180214 11:06:17,710][ParserHtml:179] ====linkSrc======./201601/t20160127_19488.html
[ERROR][20180214 11:06:17,710][ParserHtml:179] ====linkSrc======./201601/t20160127_19482.html
[ERROR][20180214 11:06:17,710][ParserHtml:179] ====linkSrc======./201601/t20160125_19392.html
[ERROR][20180214 11:06:17,710][ParserHtml:179] ====linkSrc======./201601/t20160126_19414.html
[ERROR][20180214 11:06:17,710][ParserHtml:179] ====linkSrc======./201601/t20160122_19348.html
[ERROR][20180214 11:06:17,711][ParserHtml:179] ====linkSrc======./201601/t20160121_19301.html
[ERROR][20180214 11:06:17,711][ParserHtml:179] ====linkSrc======./201601/t20160119_19247.html
[ERROR][20180214 11:06:17,711][ParserHtml:179] ====linkSrc======./201601/t20160118_19078.html
[ERROR][20180214 11:06:17,711][ParserHtml:179] ====linkSrc======./201601/t20160118_19075.html
[ERROR][20180214 11:06:17,711][ParserHtml:179] ====linkSrc======./201601/t20160114_18703.html
[ERROR][20180214 11:06:17,711][ParserHtml:179] ====linkSrc======./201601/t20160113_18695.html
[ERROR][20180214 11:06:17,711][ParserHtml:179] ====linkSrc======./201412/t20141229_8350.html
[ERROR][20180214 11:06:17,711][ParserHtml:179] ====linkSrc======./201412/t20141229_8349.html
[ERROR][20180214 11:06:17,711][ParserHtml:179] ====linkSrc======./201412/t20141229_8353.html
[ERROR][20180214 11:06:17,712][ParserHtml:179] ====linkSrc======./201412/t20141229_8352.html
[ERROR][20180214 11:06:17,712][ParserHtml:179] ====linkSrc======./201412/t20141229_8351.html
[ERROR][20180214 11:06:17,712][ParserHtml:179] ====linkSrc======./201412/t20141225_8325.html
[ERROR][20180214 11:06:17,712][ParserHtml:179] ====linkSrc======./201501/t20150128_9056.html
[ERROR][20180214 11:06:17,712][ParserHtml:179] ====linkSrc======./201501/t20150128_9057.html
[ERROR][20180214 11:06:17,712][ParserHtml:179] ====linkSrc======./201408/t20140825_7069.html
[ERROR][20180214 11:06:17,712][ParserHtml:179] ====linkSrc======./201408/t20140825_7070.html
[ERROR][20180214 11:06:17,712][ParserHtml:179] ====linkSrc======./201408/t20140825_7071.html
[ERROR][20180214 11:06:17,713][ParserHtml:179] ====linkSrc======./201408/t20140825_7072.html
[ERROR][20180214 11:06:17,713][ParserHtml:179] ====linkSrc======./201408/t20140825_7073.html
[ERROR][20180214 11:07:36,081][ParserHtml:177] ====linkSrc======./201802/t20180202_29783.html
[ERROR][20180214 11:07:36,082][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,083][ParserHtml:177] ====linkSrc======./201801/t20180125_29755.html
[ERROR][20180214 11:07:36,083][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,083][ParserHtml:177] ====linkSrc======./201801/t20180119_29662.html
[ERROR][20180214 11:07:36,083][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,084][ParserHtml:177] ====linkSrc======./201801/t20180110_29437.html
[ERROR][20180214 11:07:36,084][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,084][ParserHtml:177] ====linkSrc======./201801/t20180108_29423.html
[ERROR][20180214 11:07:36,084][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,085][ParserHtml:177] ====linkSrc======./201801/t20180108_29422.html
[ERROR][20180214 11:07:36,085][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,085][ParserHtml:177] ====linkSrc======./201801/t20180108_29421.html
[ERROR][20180214 11:07:36,085][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,086][ParserHtml:177] ====linkSrc======./201801/t20180105_29418.html
[ERROR][20180214 11:07:36,091][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,091][ParserHtml:177] ====linkSrc======./201801/t20180105_29416.html
[ERROR][20180214 11:07:36,092][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,092][ParserHtml:177] ====linkSrc======./201712/t20171207_29122.html
[ERROR][20180214 11:07:36,092][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,092][ParserHtml:177] ====linkSrc======./201710/t20171011_28406.html
[ERROR][20180214 11:07:36,093][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,093][ParserHtml:177] ====linkSrc======./201710/t20171010_28401.html
[ERROR][20180214 11:07:36,094][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,094][ParserHtml:177] ====linkSrc======./201710/t20171010_28398.html
[ERROR][20180214 11:07:36,095][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,095][ParserHtml:177] ====linkSrc======./201710/t20171010_28397.html
[ERROR][20180214 11:07:36,095][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,096][ParserHtml:177] ====linkSrc======./201710/t20171010_28396.html
[ERROR][20180214 11:07:36,096][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,096][ParserHtml:177] ====linkSrc======./201709/t20170918_28276.html
[ERROR][20180214 11:07:36,096][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,096][ParserHtml:177] ====linkSrc======./201709/t20170918_28274.html
[ERROR][20180214 11:07:36,096][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,097][ParserHtml:177] ====linkSrc======./201710/t20171010_28400.html
[ERROR][20180214 11:07:36,097][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,097][ParserHtml:177] ====linkSrc======./201710/t20171010_28399.html
[ERROR][20180214 11:07:36,097][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,097][ParserHtml:177] ====linkSrc======./201709/t20170913_28218.html
[ERROR][20180214 11:07:36,097][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,097][ParserHtml:177] ====linkSrc======./201709/t20170908_28193.html
[ERROR][20180214 11:07:36,099][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,099][ParserHtml:177] ====linkSrc======./201709/t20170905_28166.html
[ERROR][20180214 11:07:36,099][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,099][ParserHtml:177] ====linkSrc======./201708/t20170817_27976.html
[ERROR][20180214 11:07:36,099][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,100][ParserHtml:177] ====linkSrc======./201708/t20170814_27936.html
[ERROR][20180214 11:07:36,100][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,100][ParserHtml:177] ====linkSrc======./201708/t20170810_27909.html
[ERROR][20180214 11:07:36,100][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,100][ParserHtml:177] ====linkSrc======./201707/t20170731_27837.html
[ERROR][20180214 11:07:36,100][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,101][ParserHtml:177] ====linkSrc======./201707/t20170731_27833.html
[ERROR][20180214 11:07:36,101][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,101][ParserHtml:177] ====linkSrc======./201707/t20170718_27708.html
[ERROR][20180214 11:07:36,101][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,101][ParserHtml:177] ====linkSrc======./201707/t20170718_27707.html
[ERROR][20180214 11:07:36,101][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,101][ParserHtml:177] ====linkSrc======./201707/t20170710_27628.html
[ERROR][20180214 11:07:36,102][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,102][ParserHtml:177] ====linkSrc======./201707/t20170710_27619.html
[ERROR][20180214 11:07:36,102][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,102][ParserHtml:177] ====linkSrc======./201706/t20170629_27540.html
[ERROR][20180214 11:07:36,102][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,102][ParserHtml:177] ====linkSrc======./201706/t20170627_27495.html
[ERROR][20180214 11:07:36,102][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,103][ParserHtml:177] ====linkSrc======./201705/t20170526_27201.html
[ERROR][20180214 11:07:36,103][ParserHtml:179] ======title=====
[ERROR][20180214 11:07:36,103][ParserHtml:177] ====linkSrc======./201705/t20170526_27198.html
